,abbr,href,name
123,MACS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MACS.xml,Media and Cinema Studies
124,MATH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MATH.xml,Mathematics
125,MBA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MBA.xml,Regular MBA Program Administration
126,MCB,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MCB.xml,Molecular and Cell Biology
127,MDIA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MDIA.xml,Media
128,MDVL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MDVL.xml,Medieval Studies
129,ME,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ME.xml,Mechanical Engineering
130,MICR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MICR.xml,Microbiology
131,MILS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MILS.xml,Military Science
132,MIP,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MIP.xml,Molecular and Integrative Physiology
133,MSE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MSE.xml,Materials Science and Engineering
134,MUS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUS.xml,Music
135,MUSC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSC.xml,Music Lessons and Ensembles
136,MUSE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/MUSE.xml,Museum Studies
137,NE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NE.xml,Neural Engineering
138,NEUR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NEUR.xml,Neuroscience
139,NPRE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NPRE.xml,"Nuclear, Plasma, and Radiological Engineering"
140,NRES,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NRES.xml,Natural Resources and Environmental Sciences
141,NS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NS.xml,Naval Science
142,NUTR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/NUTR.xml,Nutritional Sciences
143,PATH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PATH.xml,Pathobiology
144,PERS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PERS.xml,Persian
145,PHIL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHIL.xml,Philosophy
146,PHYS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PHYS.xml,Physics
147,PLPA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PLPA.xml,Plant Pathology
148,POL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/POL.xml,Polish
149,PORT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT.xml,Portuguese
150,PS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS.xml,Political Science
151,PSM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSM.xml,Professional Science Master's Program
152,PSYC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC.xml,Psychology
153,QUEC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/QUEC.xml,Quechua
154,REES,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REES.xml,"Russian, East European and Eurasian Studies"
155,REL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL.xml,Religion
156,RHET,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET.xml,Rhetoric and Composition
157,RST,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST.xml,"Recreation, Sport, and Tourism"
158,RUSS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS.xml,Russian
159,SAME,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SAME.xml,South Asian and Middle Eastern Studies
160,SBC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SBC.xml,Strategic Brand Communication
161,SCAN,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SCAN.xml,Scandinavian
162,SE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE.xml,Systems Engineering and Design
163,SHS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS.xml,Speech and Hearing Science
164,SLAV,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SLAV.xml,Slavic
165,SLCL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SLCL.xml,"Literatures, Cultures, and Linguistics"
166,SOC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC.xml,Sociology
167,SOCW,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW.xml,Social Work
168,SPAN,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN.xml,Spanish
169,SPED,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED.xml,Special Education
170,STAT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT.xml,Statistics
171,SWAH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SWAH.xml,Swahili
172,TAM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM.xml,Theoretical and Applied Mechanics
173,TE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE.xml,Technology Entrepreneurship
174,THEA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA.xml,Theatre
175,TMGT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TMGT.xml,Technology and Management Courses
176,TRST,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TRST.xml,Translation Studies
177,TURK,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TURK.xml,Turkish
178,UKR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UKR.xml,Ukrainian
179,UP,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP.xml,Urban and Regional Planning
180,VCM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM.xml,Veterinary Clinical Medicine
181,VM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM.xml,Veterinary Medicine Courses
182,WGGP,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/WGGP.xml,Women and Gender in Global Perspectives Program
183,WLOF,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/WLOF.xml,Wolof
184,WRIT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/WRIT.xml,Writing Studies
185,YDSH,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/YDSH.xml,Yiddish
