,abbr,name,href
147,PLPA,Plant Pathology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PLPA.xml
148,POL,Polish,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/POL.xml
149,PORT,Portuguese,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PORT.xml
150,PS,Political Science,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PS.xml
151,PSM,Professional Science Master's Program,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSM.xml
152,PSYC,Psychology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/PSYC.xml
153,QUEC,Quechua,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/QUEC.xml
154,REES,"Russian, East European and Eurasian Studies",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REES.xml
155,REL,Religion,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/REL.xml
156,RHET,Rhetoric and Composition,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RHET.xml
157,RST,"Recreation, Sport, and Tourism",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RST.xml
158,RUSS,Russian,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/RUSS.xml
159,SAME,South Asian and Middle Eastern Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SAME.xml
160,SBC,Strategic Brand Communication,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SBC.xml
161,SCAN,Scandinavian,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SCAN.xml
162,SE,Systems Engineering and Design,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SE.xml
163,SHS,Speech and Hearing Science,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SHS.xml
164,SLAV,Slavic,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SLAV.xml
165,SLCL,"Literatures, Cultures, and Linguistics",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SLCL.xml
166,SOC,Sociology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOC.xml
167,SOCW,Social Work,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SOCW.xml
168,SPAN,Spanish,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPAN.xml
169,SPED,Special Education,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SPED.xml
170,STAT,Statistics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/STAT.xml
171,SWAH,Swahili,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/SWAH.xml
172,TAM,Theoretical and Applied Mechanics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TAM.xml
173,TE,Technology Entrepreneurship,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TE.xml
174,THEA,Theatre,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/THEA.xml
175,TMGT,Technology and Management Courses,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TMGT.xml
176,TRST,Translation Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TRST.xml
177,TURK,Turkish,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/TURK.xml
178,UKR,Ukrainian,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UKR.xml
179,UP,Urban and Regional Planning,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/UP.xml
180,VCM,Veterinary Clinical Medicine,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VCM.xml
181,VM,Veterinary Medicine Courses,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/VM.xml
182,WGGP,Women and Gender in Global Perspectives Program,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/WGGP.xml
183,WLOF,Wolof,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/WLOF.xml
184,WRIT,Writing Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/WRIT.xml
185,YDSH,Yiddish,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/YDSH.xml
